id,goal,assumptions,evidence,inference,conclusion
1,信用评估,高信用模型V3,"['资产证明', '纳税记录', '流水单', '征信报告', '社保缴纳', '工作证明', '公积金']",多维交叉验证逻辑,批准
2,信用评估,高信用模型V3,"['资产证明', '纳税记录', '流水单', '征信报告', '社保缴纳', '工作证明', '公积金']",多维交叉验证逻辑,批准
3,信用评估,高信用模型V3,"['资产证明', '纳税记录', '流水单', '征信报告', '社保缴纳', '工作证明', '公积金']",多维交叉验证逻辑,批准
4,信用评估,高信用模型V3,"['资产证明', '纳税记录', '流水单', '征信报告', '社保缴纳', '工作证明', '公积金']",多维交叉验证逻辑,批准
5,信用评估,高信用模型V3,"['资产证明', '纳税记录', '流水单', '征信报告', '社保缴纳', '工作证明', '公积金']",多维交叉验证逻辑,批准
6,信用评估,高信用模型V3,"['资产证明', '纳税记录', '流水单', '征信报告', '社保缴纳', '工作证明', '公积金']",多维交叉验证逻辑,批准
7,信用评估,高信用模型V3,"['资产证明', '纳税记录', '流水单', '征信报告', '社保缴纳', '工作证明', '公积金']",多维交叉验证逻辑,批准
8,信用评估,高信用模型V3,"['资产证明', '纳税记录', '流水单', '征信报告', '社保缴纳', '工作证明', '公积金']",多维交叉验证逻辑,批准
9,信用评估,高信用模型V3,"['资产证明', '纳税记录', '流水单', '征信报告', '社保缴纳', '工作证明', '公积金']",多维交叉验证逻辑,批准
10,信用评估,高信用模型V3,"['资产证明', '纳税记录', '流水单', '征信报告', '社保缴纳', '工作证明', '公积金']",多维交叉验证逻辑,批准
11,信用评估,高信用模型V3,"['资产证明', '纳税记录', '流水单', '征信报告', '社保缴纳', '工作证明', '公积金']",多维交叉验证逻辑,批准
12,信用评估,高信用模型V3,"['资产证明', '纳税记录', '流水单', '征信报告', '社保缴纳', '工作证明', '公积金']",多维交叉验证逻辑,批准
13,信用评估,高信用模型V3,"['资产证明', '纳税记录', '流水单', '征信报告', '社保缴纳', '工作证明', '公积金']",多维交叉验证逻辑,批准
14,信用评估,高信用模型V3,"['资产证明', '纳税记录', '流水单', '征信报告', '社保缴纳', '工作证明', '公积金']",多维交叉验证逻辑,批准
15,信用评估,高信用模型V3,"['资产证明', '纳税记录', '流水单', '征信报告', '社保缴纳', '工作证明', '公积金']",多维交叉验证逻辑,批准
16,信用评估,高信用模型V3,"['资产证明', '纳税记录', '流水单', '征信报告', '社保缴纳', '工作证明', '公积金']",多维交叉验证逻辑,批准
17,信用评估,高信用模型V3,"['资产证明', '纳税记录', '流水单', '征信报告', '社保缴纳', '工作证明', '公积金']",多维交叉验证逻辑,批准
18,信用评估,高信用模型V3,"['资产证明', '纳税记录', '流水单', '征信报告', '社保缴纳', '工作证明', '公积金']",多维交叉验证逻辑,批准
19,信用评估,高信用模型V3,"['资产证明', '纳税记录', '流水单', '征信报告', '社保缴纳', '工作证明', '公积金']",多维交叉验证逻辑,批准
20,信用评估,高信用模型V3,"['资产证明', '纳税记录', '流水单', '征信报告', '社保缴纳', '工作证明', '公积金']",多维交叉验证逻辑,批准
21,信用评估,高信用模型V3,"['资产证明', '纳税记录', '流水单', '征信报告', '社保缴纳', '工作证明', '公积金']",多维交叉验证逻辑,批准
22,信用评估,高信用模型V3,"['资产证明', '纳税记录', '流水单', '征信报告', '社保缴纳', '工作证明', '公积金']",多维交叉验证逻辑,批准